Player,Team,Season,Off Poss,Misses,Team REB% off Own Misses,Team REB% off Teammate Misses,Team PPP on Own Misses,TeamPPP on Teammate Misses,PPP Gap,Reb% Gap,POE by Second Chance Effeciency,POE by Rebound%,POE by Both,POE by SC Eff Per 100,POE by Reb% Per 100,POE by Both per 100
Ben Simmons,Brooklyn Nets,2024,734,31,0.226,0.271,1.4,1.219,0.181,-4.50%,1.266,-1.98,-0.458,0.173,-0.27,-0.062
Bennedict Mathurin,Indiana Pacers,2024,3211,367,0.335,0.257,1.282,1.317,-0.035,7.80%,-4.275,36.888,33.613,-0.133,1.149,1.047
Bilal Coulibaly,Washington Wizards,2024,3583,244,0.254,0.225,1.2,1.168,0.032,2.90%,2.013,8.548,10.329,0.056,0.239,0.288
Bismack Biyombo,Oklahoma City Thunder,2024,155,5,0.4,0.237,1,1.204,-0.204,16.30%,-0.407,0.813,0.572,-0.263,0.525,0.369
Bismack Biyombo,Memphis Grizzlies,2024,1443,52,0.269,0.27,0.455,1.126,-0.671,-0.10%,-9.394,-0.013,-9.426,-0.651,-0.001,-0.653
Blake Wesley,San Antonio Spurs,2024,1801,113,0.274,0.25,1.429,1.168,0.261,2.40%,8.065,3.939,11.287,0.448,0.219,0.627
Boban Marjanović,Houston Rockets,2024,147,16,0.312,0.276,2.75,1.242,1.508,3.60%,7.539,1.595,8.259,5.128,1.085,5.619
Bobby Portis,Milwaukee Bucks,2024,4046,452,0.201,0.243,1.429,1.281,0.148,-4.20%,13.395,-26.686,-10.541,0.331,-0.66,-0.261
Bogdan Bogdanović,Atlanta Hawks,2024,4875,629,0.3,0.29,1.351,1.218,0.133,1.00%,25.101,8.79,33.028,0.515,0.18,0.677
Bojan Bogdanović,New York Knicks,2024,1064,146,0.308,0.325,1.053,1.213,-0.16,-1.70%,-7.224,-2.504,-10.11,-0.679,-0.235,-0.95
Bojan Bogdanović,Detroit Pistons,2024,1898,226,0.265,0.258,1.25,1.192,0.058,0.70%,3.48,2,5.387,0.183,0.105,0.284
Bol Bol,Phoenix Suns,2024,933,58,0.276,0.278,0.857,1.174,-0.317,-0.20%,-5.073,-0.129,-5.25,-0.544,-0.014,-0.563
Bones Hyland,LA Clippers,2024,1077,154,0.286,0.263,1,1.218,-0.218,2.30%,-9.595,3.432,-5.415,-0.891,0.319,-0.503
Bradley Beal,Phoenix Suns,2024,3553,358,0.313,0.275,1.17,1.174,-0.004,3.80%,-0.472,16.026,15.611,-0.013,0.451,0.439
Brandin Podziemski,Golden State Warriors,2024,3940,326,0.328,0.293,1.17,1.253,-0.083,3.50%,-8.891,13.315,5.369,-0.226,0.338,0.136
Brandon Boston Jr.,LA Clippers,2024,695,96,0.271,0.264,1.043,1.218,-0.175,0.70%,-4.539,0.665,-3.764,-0.653,0.096,-0.542
Brandon Clarke,Memphis Grizzlies,2024,275,26,0.308,0.27,1.286,1.126,0.16,3.80%,1.281,1.276,2.398,0.466,0.464,0.872
Brandon Ingram,New Orleans Pelicans,2024,4212,517,0.251,0.272,1.295,1.296,-0.001,-2.10%,-0.187,-13.626,-13.828,-0.004,-0.323,-0.328
Brandon Miller,Charlotte Hornets,2024,4751,607,0.231,0.233,1.262,1.218,0.044,-0.20%,6.169,-1.786,4.445,0.13,-0.038,0.094
Brandon Williams,Dallas Mavericks,2024,237,34,0.294,0.241,0.6,1.282,-0.682,5.30%,-6.824,1.093,-4.488,-2.879,0.461,-1.894
Braxton Key,Denver Nuggets,2024,126,10,0.3,0.283,0.667,1.252,-0.585,1.70%,-1.756,0.114,-1.541,-1.394,0.091,-1.223
Brice Sensabaugh,Utah Jazz,2024,1196,133,0.301,0.302,1.257,1.27,-0.013,-0.10%,-0.53,-0.249,-0.782,-0.044,-0.021,-0.065
Brook Lopez,Milwaukee Bucks,2024,4988,389,0.257,0.235,1.333,1.281,0.052,2.20%,5.196,11.257,16.015,0.104,0.226,0.321
Bruce Brown,Indiana Pacers,2024,2071,165,0.345,0.261,1.25,1.317,-0.067,8.40%,-3.795,17.483,14.62,-0.183,0.844,0.706
Bruce Brown,Toronto Raptors,2024,1797,139,0.273,0.268,1.2,1.24,-0.04,0.50%,-1.517,0.91,-0.577,-0.084,0.051,-0.032
Bruno Fernando,Atlanta Hawks,2024,1341,78,0.372,0.29,1.435,1.218,0.217,8.20%,6.276,9.135,14.033,0.468,0.681,1.046
Bryce McGowens,Charlotte Hornets,2024,1758,129,0.186,0.234,1,1.218,-0.218,-4.80%,-5.237,-6.214,-12.808,-0.298,-0.353,-0.729
Buddy Boeheim,Detroit Pistons,2024,167,20,0.35,0.258,1.4,1.192,0.208,9.20%,1.456,2.566,3.641,0.872,1.537,2.18
Buddy Hield,Indiana Pacers,2024,2800,288,0.253,0.265,1.275,1.317,-0.042,-1.20%,-3.008,-4.357,-7.507,-0.107,-0.156,-0.268
Buddy Hield,Philadelphia 76ers,2024,1607,191,0.267,0.271,1.133,1.291,-0.158,-0.40%,-8.021,-0.894,-9.039,-0.499,-0.056,-0.562
CJ McCollum,New Orleans Pelicans,2024,4313,571,0.235,0.275,1.444,1.296,0.148,-4.00%,19.76,-33.436,-10.26,0.458,-0.775,-0.238
Cade Cunningham,Detroit Pistons,2024,4225,643,0.28,0.255,1.25,1.192,0.058,2.50%,10.44,20.341,29.838,0.247,0.481,0.706
Caleb Houstan,Orlando Magic,2024,1585,126,0.278,0.281,1.25,1.264,-0.014,-0.30%,-0.487,-0.547,-1.04,-0.031,-0.035,-0.066
Caleb Martin,Miami Heat,2024,3400,318,0.311,0.244,1.192,1.147,0.045,6.70%,4.509,25.401,28.939,0.133,0.747,0.851
Cam Reddish,Los Angeles Lakers,2024,2044,143,0.294,0.221,1.22,1.177,0.043,7.30%,1.793,12.696,14.045,0.088,0.621,0.687
Cam Thomas,Brooklyn Nets,2024,4175,664,0.291,0.267,1.233,1.219,0.014,2.40%,2.594,19.243,21.627,0.062,0.461,0.518
Cam Whitmore,Houston Rockets,2024,1830,255,0.294,0.275,1.385,1.242,0.143,1.90%,10.679,6.678,16.67,0.584,0.365,0.911
Cameron Johnson,Brooklyn Nets,2024,3166,343,0.257,0.272,1.475,1.219,0.256,-1.50%,22.518,-8.04,15.872,0.711,-0.254,0.501
Cameron Payne,Milwaukee Bucks,2024,1436,121,0.298,0.236,1.118,1.281,-0.163,6.20%,-5.894,8.371,3.703,-0.41,0.583,0.258
Cameron Payne,Philadelphia 76ers,2024,1186,152,0.263,0.271,1.412,1.291,0.121,-0.80%,4.846,-1.738,3.257,0.409,-0.147,0.275
Caris LeVert,Cleveland Cavaliers,2024,3901,475,0.282,0.256,1.259,1.263,-0.004,2.60%,-0.542,15.329,14.836,-0.014,0.393,0.38
Cason Wallace,Oklahoma City Thunder,2024,3445,225,0.249,0.237,1.451,1.204,0.247,1.20%,13.855,3.948,17.13,0.402,0.115,0.497
Cedi Osman,San Antonio Spurs,2024,2641,200,0.23,0.252,1.256,1.168,0.088,-2.20%,4.049,-5.456,-1.025,0.153,-0.207,-0.039
Charles Bassey,San Antonio Spurs,2024,429,11,0.091,0.251,2,1.168,0.832,-16.00%,0.832,-3.523,-1.227,0.194,-0.821,-0.286
Charlie Brown Jr.,New York Knicks,2024,74,8,0.25,0.324,1.5,1.213,0.287,-7.40%,0.574,-0.889,-0.145,0.775,-1.201,-0.196
Chet Holmgren,Oklahoma City Thunder,2024,4970,448,0.203,0.242,1.085,1.204,-0.119,-3.90%,-10.756,-19.059,-31.89,-0.216,-0.383,-0.642
Chimezie Metu,Phoenix Suns,2024,884,64,0.25,0.279,1.357,1.174,0.183,-2.90%,2.927,-2.513,0.753,0.331,-0.284,0.085
Chimezie Metu,Detroit Pistons,2024,826,57,0.105,0.261,0.833,1.192,-0.359,-15.60%,-2.152,-7.403,-12.741,-0.261,-0.896,-1.542
Chris Boucher,Toronto Raptors,2024,1397,107,0.29,0.268,1.04,1.24,-0.2,2.20%,-6.197,2.471,-3.251,-0.444,0.177,-0.233
Chris Duarte,Sacramento Kings,2024,1420,130,0.346,0.268,1.105,1.277,-0.172,7.80%,-7.706,11.226,5.259,-0.543,0.791,0.37
Chris Livingston,Milwaukee Bucks,2024,184,11,0.273,0.238,1.333,1.281,0.052,3.50%,0.156,0.516,0.652,0.085,0.281,0.354
Chris Paul,Golden State Warriors,2024,3055,261,0.28,0.297,1.123,1.253,-0.13,-1.70%,-9.507,-5.186,-15.294,-0.311,-0.17,-0.501
Christian Braun,Denver Nuggets,2024,3255,261,0.349,0.278,0.912,1.252,-0.34,7.10%,-30.896,16.858,-7.765,-0.949,0.518,-0.239
LeBron James,Los Angeles Lakers,2024,5132,584,0.262,0.216,1.189,1.177,0.012,4.60%,1.925,31.668,33.258,0.038,0.617,0.648
Chuma Okeke,Orlando Magic,2024,839,72,0.278,0.281,1,1.264,-0.264,-0.30%,-5.278,-0.246,-5.59,-0.629,-0.029,-0.666
Clint Capela,Atlanta Hawks,2024,3873,265,0.442,0.281,1,1.218,-0.218,16.10%,-25.55,42.464,26.187,-0.66,1.096,0.676
Coby White,Chicago Bulls,2024,5672,668,0.29,0.276,1.315,1.228,0.087,1.40%,16.756,13.086,28.983,0.295,0.231,0.511
Cody Martin,Charlotte Hornets,2024,1488,133,0.195,0.234,0.5,1.218,-0.718,-3.90%,-18.674,-2.557,-24.903,-1.255,-0.172,-1.674
Cody Zeller,New Orleans Pelicans,2024,668,36,0.361,0.268,1.4,1.296,0.104,9.30%,1.351,4.691,5.694,0.202,0.702,0.852
Colby Jones,Sacramento Kings,2024,376,43,0.302,0.27,0.385,1.277,-0.892,3.20%,-11.595,0.53,-9.835,-3.084,0.141,-2.616
Cole Anthony,Orlando Magic,2024,3554,431,0.271,0.282,1.33,1.264,0.066,-1.10%,7.743,-6.286,1.77,0.218,-0.177,0.05
Cole Swider,Miami Heat,2024,173,23,0.261,0.25,1.4,1.147,0.253,1.10%,1.519,0.352,1.808,0.878,0.204,1.045
D'Moi Hodge,Los Angeles Lakers,2024,82,10,0.3,0.224,1,1.177,-0.177,7.60%,-0.53,0.764,0.369,-0.647,0.932,0.45
Collin Gillespie,Denver Nuggets,2024,445,37,0.27,0.283,0.8,1.252,-0.452,-1.30%,-4.52,-0.378,-5.112,-1.016,-0.085,-1.149
Collin Sexton,Utah Jazz,2024,4260,532,0.333,0.297,1.27,1.27,0,3.60%,-0.118,23.844,23.738,-0.003,0.56,0.557
Corey Kispert,Washington Wizards,2024,4316,408,0.238,0.225,1.103,1.168,-0.065,1.30%,-6.217,5.542,-0.353,-0.144,0.128,-0.008
Cory Joseph,Golden State Warriors,2024,599,41,0.341,0.296,1.6,1.253,0.347,4.50%,4.854,3,7.204,0.81,0.501,1.203
Craig Porter Jr.,Cleveland Cavaliers,2024,1258,112,0.348,0.257,1.258,1.263,-0.005,9.10%,-0.179,12.853,12.721,-0.014,1.022,1.011
Spencer Dinwiddie,Los Angeles Lakers,2024,1410,85,0.212,0.224,1.5,1.177,0.323,-1.20%,5.817,-1.571,4.585,0.413,-0.111,0.325
Jaxson Hayes,Los Angeles Lakers,2024,1798,49,0.224,0.224,1.625,1.177,0.448,0.00%,4.93,0.056,4.971,0.274,0.003,0.276
D.J. Wilson,Philadelphia 76ers,2024,29,2,0.5,0.271,0,1.291,-1.291,22.90%,-1.291,0,-0.699,-4.45,0,-2.411
DaQuan Jeffries,New York Knicks,2024,92,11,0.273,0.324,0,1.213,-1.213,-5.10%,-3.639,0,-4.324,-3.956,0,-4.7
Daishen Nix,Minnesota Timberwolves,2024,107,15,0.333,0.257,1,1.287,-0.287,7.60%,-1.436,1.141,0.032,-1.342,1.066,0.03
Dalano Banton,Boston Celtics,2024,348,32,0.312,0.268,1.6,1.306,0.294,4.40%,2.936,2.271,4.791,0.844,0.653,1.377
Dalano Banton,Portland Trail Blazers,2024,1722,266,0.346,0.293,0.973,1.2,-0.227,5.30%,-20.903,13.667,-4.043,-1.214,0.794,-0.235
Dalen Terry,Chicago Bulls,2024,1332,88,0.25,0.279,1.353,1.228,0.125,-2.90%,2.739,-3.42,-0.367,0.206,-0.257,-0.028
Damian Jones,Cleveland Cavaliers,2024,517,29,0.207,0.26,1.667,1.263,0.404,-5.30%,2.424,-2.574,0.474,0.469,-0.498,0.092
Damian Lillard,Milwaukee Bucks,2024,5341,736,0.239,0.237,1.241,1.281,-0.04,0.20%,-7.192,1.703,-5.433,-0.135,0.032,-0.102
Daniel Gafford,Dallas Mavericks,2024,1271,41,0.317,0.24,1.364,1.282,0.082,7.70%,1.056,4.298,5.098,0.083,0.338,0.401
Daniel Gafford,Washington Wizards,2024,2525,91,0.253,0.226,1.5,1.168,0.332,2.70%,7.647,3.639,10.479,0.303,0.144,0.415
Daniel Theis,LA Clippers,2024,2005,134,0.224,0.266,0.96,1.218,-0.258,-4.20%,-7.742,-5.408,-14.605,-0.386,-0.27,-0.728
Daniel Theis,Indiana Pacers,2024,19,3,0.333,0.264,0,1.317,-1.317,6.90%,-1.317,0,-1.044,-6.929,0,-5.496
Danilo Gallinari,Milwaukee Bucks,2024,295,23,0.043,0.239,0,1.281,-1.281,-19.60%,-1.281,0,-7.039,-0.434,0,-2.386
Danilo Gallinari,Washington Wizards,2024,789,74,0.149,0.228,0.9,1.168,-0.268,-7.90%,-2.943,-5.297,-9.815,-0.373,-0.671,-1.244
Danilo Gallinari,Detroit Pistons,2024,182,10,0.1,0.259,0,1.192,-1.192,-15.90%,-1.192,0,-3.09,-0.655,0,-1.698
Danny Green,Philadelphia 76ers,2024,36,2,0.5,0.271,0,1.291,-1.291,22.90%,-1.291,0,-0.699,-3.585,0,-1.942
Danté Exum,Dallas Mavericks,2024,2211,141,0.27,0.24,1.242,1.282,-0.04,3.00%,-1.518,5.18,3.829,-0.069,0.234,0.173
Danuel House Jr.,Philadelphia 76ers,2024,1033,58,0.328,0.27,0.706,1.291,-0.585,5.80%,-11.11,2.354,-6.806,-1.075,0.228,-0.659
Dario Šarić,Golden State Warriors,2024,2202,207,0.251,0.299,1.022,1.253,-0.231,-4.80%,-12.041,-10.047,-24.366,-0.547,-0.456,-1.107
Darius Bazley,Utah Jazz,2024,284,11,0.091,0.303,3,1.27,1.73,-21.20%,1.73,-6.992,-1.231,0.609,-2.462,-0.434
Darius Garland,Cleveland Cavaliers,2024,3746,466,0.247,0.262,1.21,1.263,-0.053,-1.50%,-6.111,-8.347,-14.825,-0.163,-0.223,-0.396
David Duke Jr.,San Antonio Spurs,2024,107,8,0.375,0.25,1.667,1.168,0.499,12.50%,1.495,1.662,2.66,1.397,1.553,2.486
David Roddy,Phoenix Suns,2024,130,13,0.231,0.279,1,1.174,-0.174,-4.80%,-0.523,-0.622,-1.253,-0.402,-0.478,-0.964
David Roddy,Memphis Grizzlies,2024,2262,231,0.32,0.267,1.194,1.126,0.068,5.30%,5.033,14.781,18.971,0.222,0.653,0.839
Davion Mitchell,Sacramento Kings,2024,2189,177,0.271,0.271,1.209,1.277,-0.068,0.00%,-3.226,0.125,-3.094,-0.147,0.006,-0.141
Davis Bertans,Oklahoma City Thunder,2024,196,16,0.25,0.237,1,1.204,-0.204,1.30%,-0.814,0.2,-0.573,-0.415,0.102,-0.292
Davis Bertans,Charlotte Hornets,2024,1132,126,0.198,0.234,1.318,1.218,0.1,-3.60%,2.499,-5.871,-2.927,0.221,-0.519,-0.259
Day'Ron Sharpe,Brooklyn Nets,2024,1816,126,0.429,0.266,1.311,1.219,0.092,16.30%,4.968,26.87,29.952,0.274,1.48,1.649
De'Aaron Fox,Sacramento Kings,2024,5440,829,0.28,0.268,1.308,1.277,0.031,1.20%,7.326,12.702,19.721,0.135,0.233,0.363
De'Andre Hunter,Atlanta Hawks,2024,3441,359,0.231,0.298,1.288,1.218,0.07,-6.70%,5.751,-30.705,-23.301,0.167,-0.892,-0.677
De'Anthony Melton,Philadelphia 76ers,2024,2089,221,0.281,0.27,1.5,1.291,0.209,1.10%,12.982,3.372,15.883,0.621,0.161,0.76
DeAndre Jordan,Denver Nuggets,2024,756,35,0.4,0.282,1.429,1.252,0.177,11.80%,2.472,5.911,7.652,0.327,0.782,1.012
DeJon Jarreau,Memphis Grizzlies,2024,307,33,0.333,0.269,1.333,1.126,0.207,6.40%,2.286,2.82,4.666,0.745,0.918,1.52
DeMar DeRozan,Chicago Bulls,2024,5867,705,0.275,0.279,1.152,1.228,-0.076,-0.40%,-14.745,-2.878,-17.812,-0.251,-0.049,-0.304
Dean Wade,Cleveland Cavaliers,2024,2195,136,0.301,0.258,1.457,1.263,0.194,4.30%,7.974,8.584,15.412,0.363,0.391,0.702
Deandre Ayton,Portland Trail Blazers,2024,3539,322,0.214,0.303,1.271,1.2,0.071,-8.90%,4.925,-36.472,-29.499,0.139,-1.031,-0.834
Dejounte Murray,Atlanta Hawks,2024,5730,791,0.31,0.287,1.226,1.218,0.008,2.30%,1.858,21.68,23.404,0.032,0.378,0.408
Delon Wright,Miami Heat,2024,558,40,0.2,0.251,1,1.147,-0.147,-5.10%,-1.174,-2.022,-3.492,-0.21,-0.362,-0.626
Delon Wright,Washington Wizards,2024,934,74,0.216,0.227,1.231,1.168,0.063,-1.10%,1.012,-0.973,0.089,0.108,-0.104,0.009
Deni Avdija,Washington Wizards,2024,4758,397,0.224,0.227,1.355,1.168,0.187,-0.30%,16.707,-1.506,15.41,0.351,-0.032,0.324
Dennis Schröder,Brooklyn Nets,2024,1806,212,0.236,0.273,1.106,1.219,-0.113,-3.70%,-5.637,-8.729,-15.256,-0.312,-0.483,-0.845
Dennis Schröder,Toronto Raptors,2024,3134,312,0.228,0.272,1.194,1.24,-0.046,-4.40%,-3.292,-16.421,-20.35,-0.105,-0.524,-0.649
Dennis Smith Jr.,Brooklyn Nets,2024,2067,191,0.335,0.268,1.14,1.219,-0.079,6.70%,-5.041,14.643,10.614,-0.244,0.708,0.513
Dereck Lively II,Dallas Mavericks,2024,2613,75,0.307,0.24,1.5,1.282,0.218,6.70%,5.006,7.532,11.445,0.192,0.288,0.438
Dereon Seabron,New Orleans Pelicans,2024,115,9,0.333,0.269,2.333,1.296,1.037,6.40%,3.112,1.355,3.865,2.706,1.179,3.361
Derrick Jones Jr.,Dallas Mavericks,2024,3634,256,0.234,0.242,1.407,1.282,0.125,-0.80%,7.502,-2.569,5.162,0.206,-0.071,0.142
Derrick Rose,Memphis Grizzlies,2024,814,89,0.292,0.269,1,1.126,-0.126,2.30%,-3.264,2.035,-0.974,-0.401,0.25,-0.12
Derrick White,Boston Celtics,2024,4810,452,0.261,0.27,1.264,1.306,-0.042,-0.90%,-4.983,-4.832,-9.976,-0.104,-0.1,-0.207
Desmond Bane,Memphis Grizzlies,2024,2959,416,0.276,0.269,1.21,1.126,0.084,0.70%,9.713,3.741,13.192,0.328,0.126,0.446
Devin Booker,Phoenix Suns,2024,4965,663,0.259,0.283,1.168,1.174,-0.006,-2.40%,-1.106,-18.041,-19.246,-0.022,-0.363,-0.388
Devin Vassell,San Antonio Spurs,2024,4667,558,0.246,0.251,1.174,1.168,0.006,-0.50%,0.756,-3.887,-3.113,0.016,-0.083,-0.067
Devonte' Graham,San Antonio Spurs,2024,636,70,0.229,0.251,1.143,1.168,-0.025,-2.20%,-0.409,-1.796,-2.245,-0.064,-0.282,-0.353
Dillon Brooks,Houston Rockets,2024,4504,439,0.326,0.27,1.197,1.242,-0.045,5.60%,-6.528,29.083,23.665,-0.145,0.646,0.525
Domantas Sabonis,Sacramento Kings,2024,5934,434,0.247,0.274,1.468,1.277,0.191,-2.70%,20.499,-17.267,5.485,0.345,-0.291,0.092
Dominick Barlow,San Antonio Spurs,2024,845,57,0.351,0.249,1,1.168,-0.168,10.20%,-3.368,5.797,3.405,-0.399,0.686,0.403
Donovan Mitchell,Cleveland Cavaliers,2024,3934,586,0.225,0.266,1.336,1.263,0.073,-4.10%,9.698,-32.041,-20.581,0.247,-0.814,-0.523
Donte DiVincenzo,New York Knicks,2024,4635,559,0.315,0.325,1.238,1.213,0.025,-1.00%,4.389,-7.317,-2.781,0.095,-0.158,-0.06
Dorian Finney-Smith,Brooklyn Nets,2024,3803,296,0.233,0.274,1.138,1.219,-0.081,-4.10%,-5.602,-13.82,-20.407,-0.147,-0.363,-0.537
Doug McDermott,Indiana Pacers,2024,434,41,0.122,0.266,2,1.317,0.683,-14.40%,3.417,-11.812,-4.359,0.787,-2.722,-1.004
