Player,Team,Season,Off Poss,Misses,Team REB% off Own Misses,Team REB% off Teammate Misses,Team PPP on Own Misses,TeamPPP on Teammate Misses,PPP Gap,Reb% Gap,POE by Second Chance Effeciency,POE by Rebound%,POE by Both,POE by SC Eff Per 100,POE by Reb% Per 100,POE by Both per 100
Rondae Hollis-Jefferson,Brooklyn Nets,2018,3860,382,0.254,0.241,1.117,1.165,-0.048,1.30%,-4.62,5.591,1.209,-0.12,0.145,0.031
Royce O'Neale,Utah Jazz,2018,2246,164,0.366,0.238,1.1,1.15,-0.05,12.80%,-2.973,22.991,21.053,-0.132,1.024,0.937
Rudy Gay,San Antonio Spurs,2018,2335,284,0.282,0.264,1.186,1.233,-0.047,1.80%,-3.758,6.024,2.504,-0.161,0.258,0.107
Rudy Gobert,Utah Jazz,2018,3617,168,0.304,0.241,1.114,1.15,-0.036,6.30%,-1.832,11.658,10.202,-0.051,0.322,0.282
Russell Westbrook,Oklahoma City Thunder,2018,5910,931,0.3,0.297,1.164,1.169,-0.005,0.30%,-1.457,3.239,1.796,-0.025,0.055,0.03
Ryan Anderson,Houston Rockets,2018,3464,273,0.147,0.245,1.405,1.172,0.233,-9.80%,9.337,-37.956,-22.314,0.27,-1.096,-0.644
Ryan Arcidiacono,Chicago Bulls,2018,606,24,0.167,0.236,1.5,1.082,0.418,-6.90%,1.673,-2.483,-0.118,0.276,-0.41,-0.019
Salah Mejri,Dallas Mavericks,2018,1416,49,0.265,0.208,1.5,1.155,0.345,5.70%,4.483,4.21,7.726,0.317,0.297,0.546
Sam Dekker,LA Clippers,2018,1801,131,0.275,0.283,1.143,1.201,-0.058,-0.80%,-2.08,-1.201,-3.342,-0.116,-0.067,-0.186
Sean Kilpatrick,Chicago Bulls,2018,427,60,0.317,0.234,0.529,1.082,-0.553,8.30%,-10.496,2.625,-5.132,-2.458,0.615,-1.202
Sean Kilpatrick,LA Clippers,2018,77,11,0.182,0.283,0,1.201,-1.201,-10.10%,-2.401,0,-3.736,-3.119,0,-4.851
Sean Kilpatrick,Milwaukee Bucks,2018,402,51,0.216,0.229,0.714,1.173,-0.459,-1.30%,-5.045,-0.503,-5.871,-1.255,-0.125,-1.46
Sean Kilpatrick,Brooklyn Nets,2018,378,62,0.226,0.242,0.769,1.165,-0.396,-1.60%,-5.534,-0.788,-6.728,-1.464,-0.209,-1.78
Semi Ojeleye,Boston Celtics,2018,2260,123,0.244,0.244,1.12,1.185,-0.065,0.00%,-1.946,0.014,-1.932,-0.086,0.001,-0.085
Serge Ibaka,Toronto Raptors,2018,4238,405,0.254,0.256,1.092,1.22,-0.128,-0.20%,-13.144,-0.77,-14.004,-0.31,-0.018,-0.33
Shabazz Muhammad,Milwaukee Bucks,2018,228,30,0.133,0.23,1.333,1.173,0.16,-9.70%,0.642,-3.871,-2.764,0.281,-1.698,-1.212
Shabazz Muhammad,Minnesota Timberwolves,2018,601,74,0.284,0.272,1.111,1.239,-0.128,1.20%,-2.695,0.985,-1.596,-0.448,0.164,-0.266
Shabazz Napier,Portland Trail Blazers,2018,3002,308,0.227,0.27,1.339,1.204,0.135,-4.30%,9.399,-17.525,-6.369,0.313,-0.584,-0.212
Shane Larkin,Boston Celtics,2018,1500,135,0.274,0.243,1.179,1.185,-0.006,3.10%,-0.233,4.991,4.785,-0.016,0.333,0.319
Shaquille Harrison,Phoenix Suns,2018,802,65,0.369,0.259,0.864,1.147,-0.283,11.00%,-6.812,6.189,1.412,-0.849,0.772,0.176
Shaun Livingston,Golden State Warriors,2018,2261,171,0.24,0.229,1.5,1.222,0.278,1.10%,11.402,2.816,13.696,0.504,0.125,0.606
Shelvin Mack,Orlando Magic,2018,2674,236,0.284,0.231,0.898,1.098,-0.2,5.30%,-13.352,11.281,0.432,-0.499,0.422,0.016
Sindarius Thornwell,LA Clippers,2018,2341,133,0.338,0.28,1.122,1.201,-0.079,5.80%,-3.541,8.636,5.701,-0.151,0.369,0.244
Skal Labissiere,Sacramento Kings,2018,2373,254,0.201,0.245,1.213,1.106,0.107,-4.40%,5.45,-13.484,-6.845,0.23,-0.568,-0.288
Solomon Hill,New Orleans Pelicans,2018,402,30,0.3,0.225,0.667,1.257,-0.59,7.50%,-5.313,1.49,-2.503,-1.322,0.371,-0.623
Spencer Dinwiddie,Brooklyn Nets,2018,4551,514,0.268,0.238,1.032,1.165,-0.133,3.00%,-18.287,16.082,-0.139,-0.402,0.353,-0.003
Stanley Johnson,Detroit Pistons,2018,3757,350,0.226,0.256,1.029,1.164,-0.135,-3.00%,-10.668,-10.986,-23.097,-0.284,-0.292,-0.615
Stephen Curry,Golden State Warriors,2018,3491,436,0.216,0.231,1.059,1.222,-0.163,-1.50%,-15.329,-7.25,-23.696,-0.439,-0.208,-0.679
Sterling Brown,Milwaukee Bucks,2018,1530,123,0.244,0.229,0.964,1.173,-0.209,1.50%,-6.258,1.795,-4.075,-0.409,0.117,-0.266
Steven Adams,Oklahoma City Thunder,2018,4990,264,0.36,0.293,0.987,1.169,-0.182,6.70%,-17.306,17.436,3.349,-0.347,0.349,0.067
T.J. Leaf,Indiana Pacers,2018,897,72,0.375,0.254,1.348,1.176,0.172,12.10%,4.65,11.753,14.901,0.518,1.31,1.661
T.J. McConnell,Philadelphia 76ers,2018,3511,211,0.256,0.273,1.043,1.218,-0.175,-1.70%,-9.478,-3.702,-13.804,-0.27,-0.105,-0.393
T.J. Warren,Phoenix Suns,2018,4409,534,0.277,0.258,1.175,1.147,0.028,1.90%,4.019,11.862,15.607,0.091,0.269,0.354
Taj Gibson,Minnesota Timberwolves,2018,5405,312,0.298,0.27,1.488,1.239,0.249,2.80%,23.068,13.198,34.065,0.427,0.244,0.63
Tarik Black,Houston Rockets,2018,1083,52,0.25,0.238,1,1.172,-0.172,1.20%,-2.236,0.622,-1.507,-0.206,0.057,-0.139
Taurean Prince,Atlanta Hawks,2018,4990,560,0.259,0.24,1.198,1.146,0.052,1.90%,7.575,12.904,19.916,0.152,0.259,0.399
Terrance Ferguson,Oklahoma City Thunder,2018,1494,99,0.242,0.299,1.333,1.169,0.164,-5.70%,3.944,-7.442,-2.582,0.264,-0.498,-0.173
Terrence Ross,Orlando Magic,2018,1237,115,0.183,0.236,1.143,1.098,0.045,-5.30%,0.951,-6.953,-5.727,0.077,-0.562,-0.463
Terry Rozier,Boston Celtics,2018,4059,485,0.245,0.244,1.151,1.185,-0.034,0.10%,-4.036,0.993,-3.014,-0.099,0.024,-0.074
Thabo Sefolosha,Utah Jazz,2018,1588,122,0.254,0.244,0.929,1.15,-0.221,1.00%,-6.851,1.169,-5.403,-0.431,0.074,-0.34
Thaddeus Young,Indiana Pacers,2018,5095,443,0.248,0.257,1.074,1.176,-0.102,-0.90%,-11.212,-4.269,-15.886,-0.22,-0.084,-0.312
Thomas Bryant,Los Angeles Lakers,2018,148,13,0.231,0.269,0,1.227,-1.227,-3.80%,-3.68,0,-4.286,-2.487,0,-2.896
Thon Maker,Milwaukee Bucks,2018,2412,186,0.167,0.233,0.692,1.173,-0.481,-6.60%,-14.898,-8.511,-29.317,-0.618,-0.353,-1.215
Tim Frazier,Washington Wizards,2018,1640,104,0.279,0.259,1.4,1.19,0.21,2.00%,6.078,2.83,8.484,0.371,0.173,0.517
Tim Hardaway Jr.,New York Knicks,2018,3658,496,0.292,0.268,1.256,1.195,0.061,2.40%,8.821,15.217,23.301,0.241,0.416,0.637
Timofey Mozgov,Brooklyn Nets,2018,754,41,0.146,0.243,0,1.165,-1.165,-9.70%,-6.987,0,-11.606,-0.927,0,-1.539
Timothe Luwawu-Cabarrot,Philadelphia 76ers,2018,1649,167,0.251,0.273,1.059,1.218,-0.159,-2.20%,-6.689,-3.758,-11.013,-0.406,-0.228,-0.668
Tobias Harris,LA Clippers,2018,2247,270,0.263,0.284,1.25,1.201,0.049,-2.10%,3.505,-7.131,-3.345,0.156,-0.317,-0.149
Tobias Harris,Detroit Pistons,2018,3085,389,0.224,0.257,1.197,1.164,0.033,-3.30%,2.936,-15.438,-12.066,0.095,-0.5,-0.391
Tomas Satoransky,Washington Wizards,2018,3252,183,0.29,0.258,1.37,1.19,0.18,3.20%,9.495,7.817,16.289,0.292,0.24,0.501
Tony Allen,New Orleans Pelicans,2018,554,47,0.383,0.224,1.529,1.257,0.272,15.90%,4.904,11.422,14.291,0.885,2.062,2.58
Tony Bradley,Utah Jazz,2018,59,8,0.25,0.244,2,1.15,0.85,0.60%,1.701,0.094,1.755,2.883,0.16,2.975
Tony Parker,San Antonio Spurs,2018,2053,210,0.3,0.263,1.105,1.233,-0.128,3.70%,-8.028,8.565,1.524,-0.391,0.417,0.074
Tony Snell,Milwaukee Bucks,2018,4076,240,0.204,0.231,1.302,1.173,0.129,-2.70%,6.342,-8.424,-1.244,0.156,-0.207,-0.031
Torrey Craig,Denver Nuggets,2018,1258,75,0.2,0.287,1,1.222,-0.222,-8.70%,-3.335,-6.504,-11.285,-0.265,-0.517,-0.897
Travis Wear,Los Angeles Lakers,2018,454,47,0.277,0.269,1.091,1.227,-0.136,0.80%,-1.765,0.412,-1.302,-0.389,0.091,-0.287
Treveon Graham,Charlotte Hornets,2018,2075,125,0.352,0.257,1.421,1.224,0.197,9.50%,8.665,16.898,23.221,0.418,0.814,1.119
Trevor Ariza,Houston Rockets,2018,4559,383,0.235,0.239,1.152,1.172,-0.02,-0.40%,-1.807,-1.585,-3.419,-0.04,-0.035,-0.075
Trevor Booker,Brooklyn Nets,2018,825,73,0.219,0.243,1.533,1.165,0.368,-2.40%,5.901,-2.612,3.918,0.715,-0.317,0.475
Trevor Booker,Indiana Pacers,2018,529,45,0.311,0.256,0.769,1.176,-0.407,5.50%,-5.689,1.923,-2.75,-1.075,0.364,-0.52
Trevor Booker,Philadelphia 76ers,2018,990,48,0.208,0.273,0.667,1.218,-0.551,-6.50%,-5.514,-2.057,-9.273,-0.557,-0.208,-0.937
Trey Burke,New York Knicks,2018,1523,191,0.236,0.273,1.368,1.195,0.173,-3.70%,7.788,-9.749,-0.728,0.511,-0.64,-0.048
Trey Lyles,Denver Nuggets,2018,2768,280,0.257,0.287,1.129,1.222,-0.093,-3.00%,-6.718,-9.512,-17.016,-0.243,-0.344,-0.615
Tristan Thompson,Cleveland Cavaliers,2018,2160,103,0.262,0.229,1.292,1.219,0.073,3.30%,1.972,4.399,6.122,0.091,0.204,0.283
Troy Daniels,Phoenix Suns,2018,3299,343,0.175,0.269,1.218,1.147,0.071,-9.40%,4.244,-39.241,-32.718,0.129,-1.189,-0.992
Troy Williams,Houston Rockets,2018,35,7,0.571,0.238,2,1.172,0.828,33.30%,3.312,4.674,6.051,9.463,13.354,17.288
Troy Williams,New York Knicks,2018,572,51,0.333,0.27,1.214,1.195,0.019,6.30%,0.322,3.908,4.169,0.056,0.683,0.729
Tyler Cavanaugh,Atlanta Hawks,2018,1048,85,0.212,0.243,0.778,1.146,-0.368,-3.10%,-6.63,-2.075,-9.688,-0.633,-0.198,-0.924
Tyler Dorsey,Atlanta Hawks,2018,1972,238,0.227,0.243,1.087,1.146,-0.059,-1.60%,-3.194,-4.294,-7.721,-0.162,-0.218,-0.392
Tyler Ennis,Los Angeles Lakers,2018,1384,130,0.3,0.268,1.086,1.227,-0.141,3.20%,-5.498,4.575,-0.328,-0.397,0.331,-0.024
Tyler Johnson,Miami Heat,2018,3971,402,0.259,0.245,0.989,1.116,-0.127,1.40%,-13.214,5.299,-7.234,-0.333,0.133,-0.182
Tyler Ulis,Phoenix Suns,2018,3386,337,0.288,0.258,1,1.147,-0.147,3.00%,-14.303,9.961,-2.873,-0.422,0.294,-0.085
Tyler Zeller,Milwaukee Bucks,2018,829,43,0.186,0.23,1.286,1.173,0.113,-4.40%,0.903,-2.42,-1.305,0.109,-0.292,-0.157
Tyler Zeller,Brooklyn Nets,2018,1370,104,0.221,0.243,1.286,1.165,0.121,-2.20%,2.788,-2.873,0.185,0.203,-0.21,0.014
Tyreke Evans,Memphis Grizzlies,2018,3085,443,0.271,0.254,1.059,1.095,-0.036,1.70%,-4.32,8.109,4.065,-0.14,0.263,0.132
Tyrone Wallace,LA Clippers,2018,1771,137,0.35,0.28,1.175,1.201,-0.026,7.00%,-1.231,11.336,10.353,-0.069,0.64,0.585
Tyson Chandler,Phoenix Suns,2018,2340,66,0.485,0.257,1.179,1.147,0.032,22.80%,0.996,17.723,18.251,0.043,0.757,0.78
Tyus Jones,Minnesota Timberwolves,2018,2849,178,0.281,0.272,1.319,1.239,0.08,0.90%,3.985,2.186,6.038,0.14,0.077,0.212
Victor Oladipo,Indiana Pacers,2018,5013,702,0.251,0.257,1.327,1.176,0.151,-0.60%,26.562,-6.312,20.968,0.53,-0.126,0.418
Vince Carter,Sacramento Kings,2018,1941,169,0.189,0.244,0.862,1.106,-0.244,-5.50%,-7.802,-7.974,-18.031,-0.402,-0.411,-0.929
Vincent Hunter,Memphis Grizzlies,2018,16,2,0.5,0.255,2,1.095,0.905,24.50%,0.905,0.978,1.44,5.654,6.113,9.002
Wade Baldwin IV,Portland Trail Blazers,2018,162,7,0.429,0.266,2.667,1.204,1.463,16.30%,4.387,3.032,5.756,2.708,1.872,3.553
Walt Lemon Jr.,New Orleans Pelicans,2018,74,9,0.111,0.226,0,1.257,-1.257,-11.50%,-1.257,0,-2.561,-1.699,0,-3.461
Wayne Ellington,Miami Heat,2018,3913,415,0.202,0.252,1.171,1.116,0.055,-5.00%,4.621,-24.209,-18.451,0.118,-0.619,-0.472
Wayne Selden,Memphis Grizzlies,2018,1391,153,0.288,0.254,1,1.095,-0.095,3.40%,-4.198,5.095,1.383,-0.302,0.366,0.099
Wes Iwundu,Orlando Magic,2018,2006,125,0.224,0.234,0.8,1.098,-0.298,-1.00%,-8.333,-1.027,-9.742,-0.415,-0.051,-0.486
Wesley Johnson,LA Clippers,2018,3035,218,0.229,0.286,1.047,1.201,-0.154,-5.70%,-7.706,-12.895,-22.5,-0.254,-0.425,-0.741
Wesley Matthews,Dallas Mavericks,2018,4187,414,0.186,0.211,1.221,1.155,0.066,-2.50%,5.041,-12.855,-7.124,0.12,-0.307,-0.17
Will Barton,Denver Nuggets,2018,5367,563,0.307,0.281,1.162,1.222,-0.06,2.60%,-10.411,17.148,7.625,-0.194,0.32,0.142
Willie Cauley-Stein,Sacramento Kings,2018,4004,385,0.236,0.242,1.053,1.106,-0.053,-0.60%,-4.847,-2.4,-7.369,-0.121,-0.06,-0.184
Willie Reed,LA Clippers,2018,870,40,0.225,0.283,1.111,1.201,-0.09,-5.80%,-0.806,-2.586,-3.6,-0.093,-0.297,-0.414
Willy Hernangomez,New York Knicks,2018,461,32,0.219,0.271,0.857,1.195,-0.338,-5.20%,-2.368,-1.447,-4.385,-0.514,-0.314,-0.951
Willy Hernangomez,Charlotte Hornets,2018,535,41,0.268,0.26,1.273,1.224,0.049,0.80%,0.535,0.442,0.96,0.1,0.083,0.179
Wilson Chandler,Denver Nuggets,2018,4654,350,0.311,0.282,1.247,1.222,0.025,2.90%,2.709,12.722,15.177,0.058,0.273,0.326
Xavier Munford,Milwaukee Bucks,2018,41,5,0.4,0.229,1,1.173,-0.173,17.10%,-0.346,0.855,0.657,-0.843,2.085,1.602
Xavier Rathan-Mayes,Memphis Grizzlies,2018,241,30,0.2,0.256,0.5,1.095,-0.595,-5.60%,-3.572,-0.841,-5.415,-1.482,-0.349,-2.247
Xavier Silas,Boston Celtics,2018,14,3,0.667,0.243,1,1.185,-0.185,42.40%,-0.37,1.27,1.135,-2.641,9.068,8.104
Yogi Ferrell,Dallas Mavericks,2018,4474,419,0.208,0.209,1.156,1.155,0.001,-0.10%,0.063,-0.597,-0.534,0.001,-0.013,-0.012
Zach Collins,Portland Trail Blazers,2018,2019,174,0.236,0.268,0.735,1.204,-0.469,-3.20%,-19.235,-4.124,-25.99,-0.953,-0.204,-1.287
Zach LaVine,Chicago Bulls,2018,1275,219,0.228,0.236,0.978,1.082,-0.104,-0.80%,-5.203,-1.567,-6.936,-0.408,-0.123,-0.544
Zach Randolph,Sacramento Kings,2018,2934,402,0.276,0.238,1.137,1.106,0.031,3.80%,3.435,17.546,20.503,0.117,0.598,0.699
Zaza Pachulia,Golden State Warriors,2018,2001,115,0.287,0.227,1.107,1.222,-0.115,6.00%,-3.787,7.589,4.588,-0.189,0.379,0.229
Zhou Qi,Houston Rockets,2018,255,26,0.308,0.238,1.429,1.172,0.257,7.00%,2.053,2.599,4.185,0.805,1.019,1.641
AJ Hammons,Dallas Mavericks,2017,314,25,0.32,0.2,2.25,1.181,1.069,12.00%,8.55,6.756,12.097,2.723,2.152,3.852
Aaron Brooks,Indiana Pacers,2017,1722,179,0.296,0.236,1.227,1.188,0.039,6.00%,2.108,13.297,14.974,0.122,0.772,0.87
Aaron Gordon,Orlando Magic,2017,4581,472,0.282,0.251,1.345,1.147,0.198,3.10%,26.353,19.542,43.016,0.575,0.427,0.939
Aaron Harrison,Charlotte Hornets,2017,32,4,0.25,0.233,0,1.22,-1.22,1.70%,-1.22,0,-1.136,-3.812,0,-3.551
Adreian Payne,Minnesota Timberwolves,2017,267,31,0.258,0.301,0.25,1.23,-0.98,-4.30%,-7.844,-0.329,-9.463,-2.938,-0.123,-3.544
Al Horford,Boston Celtics,2017,4348,422,0.239,0.244,1.08,1.105,-0.025,-0.50%,-2.485,-2.17,-4.705,-0.057,-0.05,-0.108
Al Jefferson,Indiana Pacers,2017,1803,236,0.229,0.239,1.043,1.188,-0.145,-1.00%,-7.777,-2.542,-10.67,-0.431,-0.141,-0.592
Al-Farouq Aminu,Portland Trail Blazers,2017,3507,283,0.244,0.257,1.367,1.158,0.209,-1.30%,14.405,-5.292,9.922,0.411,-0.151,0.283
Alan Anderson,LA Clippers,2017,602,50,0.28,0.246,1,1.151,-0.151,3.40%,-2.113,1.698,-0.158,-0.351,0.282,-0.026
Alan Williams,Phoenix Suns,2017,1479,129,0.318,0.289,1.062,1.219,-0.157,2.90%,-6.423,4.016,-1.815,-0.434,0.272,-0.123
Alec Burks,Utah Jazz,2017,1249,149,0.255,0.262,1.467,1.128,0.339,-0.70%,12.88,-1.441,11.772,1.031,-0.115,0.943
Alex Abrines,Oklahoma City Thunder,2017,2139,207,0.3,0.31,1.039,1.152,-0.113,-1.00%,-7.013,-2.154,-9.401,-0.328,-0.101,-0.44
Alex Len,Phoenix Suns,2017,3196,233,0.245,0.292,1.519,1.219,0.3,-4.70%,17.104,-16.856,3.577,0.535,-0.527,0.112
Alex Poythress,Philadelphia 76ers,2017,314,29,0.345,0.256,0.9,1.2,-0.3,8.90%,-2.995,2.318,0.095,-0.954,0.738,0.03
Alexis Ajinca,New Orleans Pelicans,2017,1156,89,0.112,0.217,1.889,1.138,0.751,-10.50%,7.506,-17.523,-3.054,0.649,-1.516,-0.264
Allen Crabbe,Portland Trail Blazers,2017,4523,344,0.224,0.26,1.197,1.158,0.039,-3.60%,3.025,-14.777,-11.267,0.067,-0.327,-0.249
Alonzo Gee,Denver Nuggets,2017,189,11,0.273,0.3,1,1.238,-0.238,-2.70%,-0.715,-0.301,-1.087,-0.378,-0.159,-0.575
Amir Johnson,Boston Celtics,2017,3155,157,0.268,0.243,1.194,1.105,0.089,2.50%,3.754,4.684,8.087,0.119,0.148,0.256
Anderson Varejao,Golden State Warriors,2017,187,9,0.111,0.259,3,1.224,1.776,-14.80%,1.776,-3.999,0.143,0.95,-2.139,0.077
Andre Drummond,Detroit Pistons,2017,4677,428,0.266,0.269,1.125,1.15,-0.025,-0.30%,-2.898,-1.359,-4.288,-0.062,-0.029,-0.092
Andre Iguodala,Golden State Warriors,2017,4099,196,0.26,0.259,1.213,1.224,-0.011,0.10%,-0.594,0.336,-0.255,-0.014,0.008,-0.006
Andre Roberson,Oklahoma City Thunder,2017,4801,248,0.31,0.309,1.127,1.152,-0.025,0.10%,-1.951,0.442,-1.5,-0.041,0.009,-0.031
Andrew Bogut,Dallas Mavericks,2017,1095,43,0.279,0.2,0.444,1.181,-0.737,7.90%,-8.842,1.515,-4.815,-0.807,0.138,-0.44
Andrew Harrison,Memphis Grizzlies,2017,2798,243,0.288,0.28,1,1.155,-0.155,0.80%,-10.834,1.864,-8.682,-0.387,0.067,-0.31
Andrew Nicholson,Brooklyn Nets,2017,220,21,0.143,0.227,1.333,1.167,0.166,-8.40%,0.499,-2.361,-1.568,0.227,-1.073,-0.713
Andrew Nicholson,Washington Wizards,2017,453,47,0.255,0.27,1.2,1.203,-0.003,-1.50%,-0.03,-0.831,-0.863,-0.007,-0.183,-0.19
Andrew Wiggins,Minnesota Timberwolves,2017,6014,861,0.298,0.301,1.239,1.23,0.009,-0.30%,2.31,-2.328,-0.002,0.038,-0.039,0
Anthony Bennett,Brooklyn Nets,2017,557,54,0.204,0.227,1.273,1.167,0.106,-2.30%,1.162,-1.604,-0.308,0.209,-0.288,-0.055
Anthony Brown,New Orleans Pelicans,2017,271,27,0.148,0.215,1.25,1.138,0.112,-6.70%,0.447,-2.246,-1.598,0.165,-0.829,-0.59
Anthony Brown,Orlando Magic,2017,32,5,0.2,0.255,2,1.147,0.853,-5.50%,0.853,-0.547,0.54,2.667,-1.709,1.687
Anthony Davis,New Orleans Pelicans,2017,5385,756,0.169,0.225,1.108,1.138,-0.03,-5.60%,-3.864,-46.618,-51.753,-0.072,-0.866,-0.961
Anthony Morrow,Chicago Bulls,2017,177,17,0.294,0.299,1.2,1.211,-0.011,-0.50%,-0.054,-0.09,-0.145,-0.031,-0.051,-0.082
Anthony Morrow,Oklahoma City Thunder,2017,1264,137,0.343,0.308,0.865,1.152,-0.287,3.50%,-13.511,4.182,-7.939,-1.069,0.331,-0.628
Anthony Tolliver,Sacramento Kings,2017,2913,196,0.214,0.243,1.216,1.14,0.076,-2.90%,3.214,-6.83,-3.186,0.11,-0.234,-0.109
Archie Goodwin,Brooklyn Nets,2017,368,27,0.222,0.227,1.167,1.167,0,-0.50%,-0.003,-0.142,-0.145,-0.001,-0.039,-0.039
Aron Baynes,Detroit Pistons,2017,2252,136,0.279,0.269,1.062,1.15,-0.088,1.00%,-3.341,1.576,-1.635,-0.148,0.07,-0.073
Arron Afflalo,Sacramento Kings,2017,3067,235,0.238,0.242,1.041,1.14,-0.099,-0.40%,-5.537,-0.808,-6.422,-0.181,-0.026,-0.209
Austin Rivers,LA Clippers,2017,4074,408,0.265,0.244,1.173,1.151,0.022,2.10%,2.438,9.835,12.084,0.06,0.241,0.297
Avery Bradley,Boston Celtics,2017,3657,416,0.221,0.246,1.065,1.105,-0.04,-2.50%,-3.692,-11.148,-15.26,-0.101,-0.305,-0.417
Axel Toupane,New Orleans Pelicans,2017,83,3,0.333,0.214,0,1.138,-1.138,11.90%,-1.138,0,-0.731,-1.371,0,-0.881
Ben Bentil,Dallas Mavericks,2017,21,3,0.333,0.201,0,1.181,-1.181,13.20%,-1.181,0,-0.711,-5.625,0,-3.385
Ben McLemore,Sacramento Kings,2017,2304,239,0.222,0.243,1.533,1.14,0.393,-2.10%,20.863,-7.701,15.139,0.906,-0.334,0.657
Beno Udrih,Detroit Pistons,2017,1067,105,0.295,0.268,1.276,1.15,0.126,2.70%,3.889,3.626,7.159,0.364,0.34,0.671
Bismack Biyombo,Orlando Magic,2017,3449,160,0.262,0.254,1.049,1.147,-0.098,0.80%,-4.112,1.375,-2.608,-0.119,0.04,-0.076
Blake Griffin,LA Clippers,2017,4134,492,0.337,0.232,1.153,1.151,0.002,10.50%,0.405,59.798,60.077,0.01,1.447,1.453
Boban Marjanović,Detroit Pistons,2017,579,60,0.317,0.268,1.235,1.15,0.085,4.90%,1.613,3.596,4.961,0.279,0.621,0.857
Bobby Brown,Houston Rockets,2017,259,37,0.243,0.275,2,1.244,0.756,-3.20%,6.803,-2.374,5.327,2.627,-0.917,2.057
Bobby Portis,Chicago Bulls,2017,1958,192,0.229,0.302,1.317,1.211,0.106,-7.30%,4.672,-18.427,-12.27,0.239,-0.941,-0.627
Bojan Bogdanović,Brooklyn Nets,2017,3089,342,0.219,0.227,1.188,1.167,0.021,-0.80%,1.598,-3.304,-1.646,0.052,-0.107,-0.053
Bojan Bogdanović,Washington Wizards,2017,1215,127,0.331,0.268,1.432,1.203,0.229,6.30%,9.657,11.456,19.274,0.795,0.943,1.586
Boris Diaw,Utah Jazz,2017,2392,181,0.221,0.264,1.067,1.128,-0.061,-4.30%,-2.442,-8.217,-11.129,-0.102,-0.344,-0.465
Bradley Beal,Washington Wizards,2017,5417,685,0.285,0.267,1.22,1.203,0.017,1.80%,3.478,15.142,18.398,0.064,0.28,0.34
Brandan Wright,Memphis Grizzlies,2017,838,52,0.346,0.28,0.867,1.155,-0.288,6.60%,-5.186,2.982,-1.213,-0.619,0.356,-0.145
Brandon Bass,LA Clippers,2017,1133,79,0.316,0.245,1.333,1.151,0.182,7.10%,4.561,7.534,11.064,0.403,0.665,0.977
Brandon Ingram,Los Angeles Lakers,2017,4609,411,0.309,0.271,0.982,1.141,-0.159,3.80%,-20.144,15.415,-2.241,-0.437,0.334,-0.049
Brandon Jennings,New York Knicks,2017,2865,266,0.346,0.289,1.122,1.214,-0.092,5.70%,-8.505,17.093,9.996,-0.297,0.597,0.349
Brandon Jennings,Washington Wizards,2017,744,77,0.182,0.272,0.917,1.203,-0.286,-9.00%,-4.002,-6.345,-12.325,-0.538,-0.853,-1.657
Brandon Knight,Phoenix Suns,2017,2313,316,0.269,0.291,1.053,1.219,-0.166,-2.20%,-14.155,-7.401,-22.727,-0.612,-0.32,-0.983
Brandon Rush,Minnesota Timberwolves,2017,2006,117,0.291,0.3,1.226,1.23,-0.004,-0.90%,-0.158,-1.417,-1.58,-0.008,-0.071,-0.079
Brian Roberts,Charlotte Hornets,2017,792,76,0.25,0.233,1,1.22,-0.22,1.70%,-4.174,1.324,-2.559,-0.527,0.167,-0.323
Briante Weber,Golden State Warriors,2017,91,9,0.222,0.259,0,1.224,-1.224,-3.70%,-2.449,0,-2.854,-2.691,0,-3.136
Briante Weber,Charlotte Hornets,2017,282,26,0.308,0.232,1.429,1.22,0.209,7.60%,1.671,2.796,4.058,0.593,0.992,1.439
Brice Johnson,LA Clippers,2017,18,5,0.4,0.246,1,1.151,-0.151,15.40%,-0.302,0.769,0.583,-1.677,4.27,3.237
Brook Lopez,Brooklyn Nets,2017,4659,617,0.183,0.235,1,1.167,-0.167,-5.20%,-18.882,-31.954,-56.176,-0.405,-0.686,-1.206
Bruno Caboclo,Toronto Raptors,2017,78,10,0.4,0.281,0,1.215,-1.215,11.90%,-4.859,0,-3.417,-6.23,0,-4.381
Bryn Forbes,San Antonio Spurs,2017,549,63,0.222,0.272,1.231,1.216,0.015,-5.00%,0.206,-3.892,-3.639,0.038,-0.709,-0.663
Buddy Hield,New Orleans Pelicans,2017,2325,286,0.262,0.21,1.087,1.138,-0.051,5.20%,-3.851,16.098,13.008,-0.166,0.692,0.559
Buddy Hield,Sacramento Kings,2017,1425,154,0.188,0.244,0.696,1.14,-0.444,-5.60%,-12.877,-5.938,-22.605,-0.904,-0.417,-1.586
C.J. Watson,Orlando Magic,2017,2007,152,0.263,0.254,1.567,1.147,0.42,0.90%,16.799,2.111,18.344,0.837,0.105,0.914
C.J. Wilcox,Orlando Magic,2017,215,23,0.261,0.255,1.5,1.147,0.353,0.60%,2.12,0.216,2.285,0.986,0.101,1.063
CJ McCollum,Portland Trail Blazers,2017,5563,749,0.25,0.258,1.018,1.158,-0.14,-0.80%,-26.167,-6.467,-33.524,-0.47,-0.116,-0.603
CJ Miles,Indiana Pacers,2017,3492,366,0.213,0.241,1.062,1.188,-0.126,-2.80%,-9.75,-10.943,-21.981,-0.279,-0.313,-0.629
